relation,display_relation,x_id,x_type,x_name,x_source,y_id,y_type,y_name,y_source
drug_drug,synergistic interaction,DB00278,drug,Argatroban,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00396,drug,Progesterone,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00412,drug,Rosiglitazone,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00532,drug,Mephenytoin,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00586,drug,Diclofenac,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00725,drug,Homatropine methylbromide,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00804,drug,Dicyclomine,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00812,drug,Phenylbutazone,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB00941,drug,Hexafluronium,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB01098,drug,Rosuvastatin,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB01124,drug,Tolbutamide,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB01354,drug,Heptabarbital,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB03322,drug,Dexpropranolol,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB06204,drug,Tapentadol,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB06414,drug,Etravirine,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
drug_drug,synergistic interaction,DB08906,drug,Fluticasone furoate,DrugBank,DB01381,drug,Ginkgo biloba,DrugBank
